target_input_tokens,avg_actual_input_tokens,num_samples,avg_duration_ms,std_duration_ms,avg_ttft_ms,std_ttft_ms,first_ttft_ms,avg_power_w,std_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,avg_active_power_w,std_active_power_w,active_median_power_w,active_p95_power_w,avg_active_sample_fraction,avg_energy_j,avg_energy_per_request_j,std_energy_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,avg_dynamic_energy_per_request_j,std_dynamic_energy_j,avg_idle_baseline_w
1,1.0,5,3009.8814487457275,6.12897118654348,69.96678973353187,0.14196404351371078,71.7494010925293,168.9548689871261,3.8047354812494985,209.26,211.56440000000003,214.205,58.182,198.32108086865915,6.489845549115786,211.1678,211.56440000000003,0.7576158940397351,508.518521577096,11.826012129699908,10.59238865782146,103.59632353258067,3.804735481249491,311.7970480964553,7.25109414177803,10.91803801626785,65.35854545454545
2,2.0,5,3020.3068256378174,14.905398674221988,70.2088245125704,0.3461497201412806,71.85516357421875,167.30419555055218,4.094546394500526,210.31239999999997,211.21439999999998,214.164,56.647,198.995598497585,5.134570394121587,210.5236,211.2578,0.7398346535082024,505.30367785422806,11.75124832219135,12.281393061065154,101.94565009600674,4.094546394500531,307.9008169041049,7.160484114048951,12.252187518825249,65.35854545454545
4,4.0,5,3052.1004676818848,5.875345115337552,70.94892235689386,0.13491796177713872,71.83661460876465,170.878958787852,3.526499503768989,209.49920000000003,210.0134,212.633,58.348,197.58027555485128,6.383137963116091,209.67979999999997,210.0136,0.7808227118598635,521.5372223986865,12.128772613922942,10.669697399436098,105.52041333330658,3.526499503768998,322.0563752498606,7.489683145345596,10.699906659944432,65.35854545454545
8,8.0,5,3061.2711906433105,7.217262338487413,71.16283483283465,0.16561002693708796,72.93190956115723,162.92747442463616,3.5605189433725006,204.5396,206.4794,209.764,56.708,191.8315934434744,8.187310332667101,206.27159999999998,206.4794,0.75359477124183,498.76137764310835,11.599101805653685,10.736428827729682,97.5689289700907,3.5605189433724993,298.6811453807571,6.946073148389699,10.783487876531984,65.35854545454545
16,16.0,5,3039.025354385376,31.669210072960645,71.30971063147088,0.19296567869156506,74.19672012329102,167.54751889558432,2.79188918032422,207.26219999999998,208.42399999999998,212.658,57.284,194.30189059311445,5.302915174784157,208.1102,208.42399999999998,0.7797410917005775,509.1216947773455,11.953308475870585,4.92134379663455,102.18897344103885,2.7918891803242305,310.4954180152328,7.29060003354206,5.996776373182764,65.35854545454545
24,24.0,5,3024.9821186065674,8.601558055800806,70.31425653502,0.19973506029664712,71.23136520385742,168.91402278658853,3.366529289420287,212.28000000000003,212.85680000000002,215.934,48.781,197.41900543187987,6.657360027519215,212.4264,212.85680000000002,0.7693795747647264,510.9401092439175,11.88232812195157,8.8265853201391,103.55547733204307,3.36652928942029,313.23167794578296,7.284457626646116,9.346356227750604,65.35854545454545
32,32.0,5,3035.82215309143,14.53607302491343,70.56836527447368,0.33728906756831983,70.88456153869629,171.92814480434777,4.781093912503826,213.046,214.32503000000003,215.363,57.169,202.0827903443515,1.4173452800436572,213.9596,214.3258,0.7602294506319274,521.9246221265792,12.137781909920447,13.854246097304689,106.56959934980235,4.781093912503829,323.5077019418369,7.523434928879928,14.049422514309537,65.35854545454545
40,40.0,5,3043.93253326416,11.918202128390833,70.7556358603544,0.2757128515012949,73.30193519592285,170.26740964606114,1.232306699860275,214.49439999999998,214.90055,216.0,57.461,198.3909578999307,6.803753603588139,214.61700000000002,214.948,0.7746362340789585,518.2896312338829,12.053247237997278,5.231651215934333,104.9088641915157,1.2323066998602723,319.3426283979676,7.426572753441107,4.612760332945742,65.35854545454545
48,48.0,5,3033.388662338257,5.2176147701049596,70.51156177077182,0.12039395024550016,72.83544540405273,168.9337409986793,4.679069253685562,214.1606,215.63240000000002,218.4,53.403,199.271182393238,7.11158327972324,215.23900000000003,215.654,0.7585999312005505,512.4315641350508,11.917013119419787,13.761693187985074,103.57519554413383,4.67906925368556,314.17369336631305,7.3063649620072795,13.925327055239213,65.35854545454545
64,64.0,5,3041.375684738159,8.84944009785196,70.69731756698255,0.20603314043425938,73.06699752807617,175.21835031316365,4.754390866414468,220.39499999999998,220.94459999999998,225.326,55.697,204.20910794915986,9.468655845781342,220.7292,220.94459999999998,0.7808909528723771,532.9178552372694,12.393438493889986,15.133660572613069,109.85980485861822,4.754390866414466,334.1379643019612,7.770650332603748,14.869427091504264,65.35854545454545
