experiment_id,target_input_tokens,actual_input_tokens,repeat_id,prompt_source,start_time,end_time,duration_ms,ttft_ms,measurement_mode,block_request_count,block_success_count,block_error_count,block_warmup_requests,block_min_requests_used,block_max_requests_used,avg_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,active_avg_power_w,active_median_power_w,active_p95_power_w,active_sample_count,active_sample_fraction,active_power_threshold_w,energy_j,energy_per_request_j,idle_baseline_w,dynamic_power_w,dynamic_energy_j,dynamic_energy_per_request_j,power_sample_count,status,error,first_ttft_ms,min_ttft_ms,max_ttft_ms,prompt_generation_ms,add_unique_prefix
prefill_token_power_modeling_1777904889,384,384,5,generated,1777904893.6949382,1777904896.8423965,3147.45831489563,104.86616293589276,block,30,30,0,2,30,100,197.2885836456552,255.306,257.074,257.556,45.913,229.3681507936508,256.273,257.074,126,0.7974683544303798,95.35854545454544,620.9575930294993,20.698586434316645,65.35854545454545,131.9300381911097,415.2442956891063,13.841476522970208,156,ok,,104.87771034240724,104.13002967834473,107.1019172668457,132.42626190185547,False
prefill_token_power_modeling_1777904889,8,8,2,generated,1777904899.215409,1777904902.274058,3058.6488246917725,71.10276333121367,block,43,43,0,2,30,100,157.37548819256017,197.303,201.712,201.712,65.067,180.64307438016527,201.404,201.712,121,0.7908496732026143,95.35854545454544,481.35635199546806,11.194333767336468,65.35854545454545,92.01694273801472,281.4475137573588,6.545291017612996,151,ok,,72.56913185119629,70.76430320739746,72.56913185119629,19.30880546569824,False
prefill_token_power_modeling_1777904889,48,48,3,generated,1777904904.6775734,1777904907.712937,3035.3636741638184,70.56020581445028,block,43,43,0,2,30,100,162.85300756081224,210.899,211.501,211.501,53.403,189.891974789916,211.211,211.501,119,0.7777777777777778,95.35854545454544,494.3181033784151,11.495769846009654,65.35854545454545,97.4944621062668,295.9311487095031,6.882119737430304,151,ok,,70.78742980957031,70.32537460327148,70.86825370788574,51.53155326843262,False
prefill_token_power_modeling_1777904889,416,416,2,generated,1777904910.3064497,1777904913.837525,3531.0750007629395,117.66070524851482,block,30,30,0,2,30,100,216.0261802139807,257.545,259.462,259.462,53.948,242.28352,258.959,259.462,150,0.847457627118644,95.35854545454544,762.8046444638968,25.42682148212989,65.35854545454545,150.66763475943526,532.0187185231231,17.733957284104104,175,ok,,117.18153953552246,116.84918403625488,118.90006065368652,142.1220302581787,False
prefill_token_power_modeling_1777904889,1792,1785,1,generated,1777904916.837666,1777904920.0750265,3237.3602390289307,294.2275350744074,block,11,11,0,2,10,30,245.0516078625824,283.406,287.153,287.153,92.10232807760848,244.99167080745343,283.406,287.153,161,0.9938271604938272,95.35854545454544,793.3203318044334,72.1200301640394,65.35854545454545,179.6930624080369,581.731175469123,52.884652315374815,160,ok,,292.4137115478516,292.4137115478516,294.708251953125,198.8391876220703,False
prefill_token_power_modeling_1777904889,512,512,3,generated,1777904922.7234654,1777904926.3704796,3647.014141082764,121.51708602905272,block,30,30,0,2,30,100,222.15700399161625,265.445,266.547,266.698,55.515,251.21490728476823,265.661,266.547,151,0.8296703296703297,95.35854545454544,810.2097350980043,27.00699116993348,65.35854545454545,156.79845853707076,571.8461955846765,19.06153985282255,180,ok,,120.38683891296388,120.38683891296388,122.25174903869627,190.5968189239502,False
prefill_token_power_modeling_1777904889,20000,20000,2,generated,1777904942.3894346,1777904953.4100456,11020.611047744753,3673.240025838216,block,3,3,0,2,3,5,290.8373612949725,295.015,298.989,299.51,273.771,290.8319250457038,295.015,298.989,547,1.0,95.35854545454544,3205.2054369843054,1068.401812328102,65.35854545454545,225.47881584042705,2484.9143288834143,828.3047762944715,545,ok,,3673.1185913085938,3670.397520065308,3676.203966140747,6449.994802474976,False
prefill_token_power_modeling_1777904889,512,512,4,generated,1777904956.0456915,1777904959.6982718,3652.5802612304688,121.69678211212158,block,30,30,0,2,30,100,236.4752136129678,271.362,271.92,271.92,60.429,251.61732934131737,271.362,271.92,167,0.9175824175824177,95.35854545454544,863.7446975129848,28.791489917099494,65.35854545454545,171.11666815842233,625.0173644829777,20.83391214943259,180,ok,,121.08278274536131,121.08278274536131,123.36492538452148,172.59979248046875,False
prefill_token_power_modeling_1777904889,15000,15000,1,generated,1777904971.412392,1777904979.121719,7709.326982498169,2569.5485273996987,block,3,3,0,2,3,5,297.2854636083963,299.508,302.726,303.218,290.033,297.3004360313316,299.508,302.726,383,1.0,95.35854545454544,2291.8708461006872,763.9569487002291,65.35854545454545,231.9269181538509,1788.000448091127,596.000149363709,381,ok,,2568.8633918762207,2568.8633918762207,2570.8696842193604,4368.041753768921,False
prefill_token_power_modeling_1777904889,2304,2304,3,generated,1777904984.5768116,1777904988.3509216,3774.1100788116455,377.3415327072144,block,10,10,0,2,10,30,254.29928284469173,279.291,283.937,283.937,114.224,253.5470740740741,279.291,283.937,189,1.0,95.35854545454544,959.7534864187244,95.97534864187244,65.35854545454545,188.9407373901463,713.0831412822554,71.30831412822553,187,ok,,374.6330738067627,374.6330738067627,379.3766498565674,2491.1434650421143,False
prefill_token_power_modeling_1777904889,160,160,4,generated,1777904990.8212895,1777904993.8344762,3013.1866931915283,83.66217215855916,block,36,36,0,2,30,100,202.3250834702923,239.64,245.623,245.623,59.368,229.76738709677417,245.182,245.623,124,0.8211920529801324,95.35854545454544,609.64324921155,16.934534700320835,65.35854545454545,136.96653801574683,412.70574976156,11.46404860448778,149,ok,,83.41097831726074,83.28390121459961,84.11884307861328,86.28034591674805,False
prefill_token_power_modeling_1777904889,2,2,1,generated,1777904996.2002444,1777904999.2071414,3006.89697265625,69.89669799804688,block,43,43,0,2,30,100,165.43190376416138,210.32,210.915,210.915,57.968,190.387186440678,210.594,210.915,118,0.7814569536423841,95.35854545454544,497.4366906092169,11.568295130446904,65.35854545454545,100.07335830961593,300.9102781447283,6.99791344522624,149,ok,,70.81151008605957,69.66376304626465,70.81151008605957,12.154579162597656,False
prefill_token_power_modeling_1777904889,1,1,1,generated,1777905001.5712888,1777905004.581301,3010.012149810791,69.96897209522336,block,43,43,0,2,30,100,168.72228703873125,210.149,211.292,211.292,59.027,200.19253571428573,210.886,211.292,112,0.7417218543046358,95.35854545454544,507.8561339304448,11.810607765824296,65.35854545454545,103.3637415841858,311.1261180183021,7.235491116704701,149,ok,,71.93183898925781,69.77963447570801,71.93183898925781,11.06572151184082,False
prefill_token_power_modeling_1777904889,40,40,2,generated,1777905006.9786196,1777905010.015843,3037.2231006622314,70.60135242550872,block,43,43,0,2,30,100,168.7855771819723,214.757,215.098,215.098,58.388,204.07244036697247,214.945,215.098,109,0.7171052631578947,95.35854545454544,512.6394540756943,11.921847769202191,65.35854545454545,103.42703172742684,314.1309699954664,7.305371395243403,150,ok,,71.92468643188477,70.3432559967041,71.92468643188477,42.53864288330078,False
prefill_token_power_modeling_1777904889,1536,1536,2,generated,1777905012.968594,1777905016.2284086,3259.814500808716,271.5749740600586,block,12,12,0,2,10,30,235.34343407533996,266.183,268.023,268.023,93.467,253.14897222222223,266.183,268.023,144,0.8834355828220859,95.35854545454544,767.1759390689132,63.93132825574276,65.35854545454545,169.9848886207945,554.1192048444203,46.17660040370169,161,ok,,269.3614959716797,269.3614959716797,279.3159484863281,198.30727577209475,False
prefill_token_power_modeling_1777904889,352,352,1,generated,1777905018.788102,1777905021.9253235,3137.221574783325,104.53329881032307,block,30,30,0,2,30,100,214.9237975586203,260.956,261.594,263.023,57.2,244.6058217054264,260.956,261.594,129,0.821656050955414,95.35854545454544,674.2635746352673,22.475452487842244,65.35854545454545,149.56525210407483,469.21933573881074,15.640644524627024,155,ok,,104.91776466369627,103.96480560302734,105.63111305236816,130.2163600921631,False
