strategy,query_count,target_input_tokens,power_limit,avg_actual_input_tokens,avg_ttft_ms,avg_e2e_ms,avg_energy_j,avg_power_w,num_samples
baseline_350w,8,225,350,223.78666666666666,193.15935480214344,198.05341979605146,37.11912982823749,120.9531364465812,150
baseline_350w,16,504,350,494.9066666666667,248.94661557414415,264.28986158415984,50.21897850638092,123.68761597279781,150
baseline_350w,32,1581,350,1569.5202702702702,396.4909517437902,429.5521879589737,93.17925812390219,143.10398896568998,148
baseline_350w,64,2175,350,2111.409722222222,495.0926677765892,532.8377053286001,140.35454073127477,152.6598493191433,144
baseline_350w,103,6053,350,5975.725352112676,774.9319542336276,805.8887028489269,288.96522505367943,185.02101780574435,142
baseline_350w,112,11106,350,11087.106666666667,1165.2818783316095,1186.1234655654491,531.9395028902115,229.36471432489708,150
baseline_350w,119,20295,350,20229.4,1852.2361622937024,1864.3752986098787,983.8022283958527,265.55302374048284,150
prefill_manual_buckets,8,225,200,223.78666666666666,197.79021267817976,202.1307985247889,35.2946382288498,113.60171371842046,150
prefill_manual_buckets,16,504,200,494.9066666666667,247.72410511291432,261.8062834065252,45.24634643438836,111.73481596957672,150
prefill_manual_buckets,32,1581,220,1569.8783783783783,411.5011713255552,439.814431935677,85.97482965104432,130.31073133800157,148
prefill_manual_buckets,64,2175,220,2111.8321678321677,510.4549656620789,547.4580652585723,123.16242592454606,133.26256877409648,143
prefill_manual_buckets,103,6053,260,5975.108695652174,796.0394450994537,824.0565602464906,268.8022994246521,172.60754036089327,138
prefill_manual_buckets,112,11106,260,11087.355704697986,1211.3660783040098,1231.2711784931148,489.8030847487072,204.51339268356,149
prefill_manual_buckets,119,20295,260,20229.4,1916.5242222810284,1929.9748728810666,872.1389347615012,229.86026492799604,150
prefill_token_fit,8,225,193,223.78666666666666,199.2382750772716,204.05853567916589,35.045218937063986,111.16274928987679,150
prefill_token_fit,16,504,203,494.9066666666667,248.53400759864599,262.347412952998,46.85934611493033,112.64416165251772,150
prefill_token_fit,32,1581,241,1569.8456375838925,403.23942989984454,432.6748125260577,89.07938769564062,135.60335167811306,149
prefill_token_fit,64,2175,262,2111.7172413793105,492.2789586237772,529.3851513703603,134.59016814249662,146.9427160956218,145
prefill_token_fit,103,6053,285,5975.744680851064,783.0431211677189,810.2278634556001,283.6392427497503,182.39233789676115,141
prefill_token_fit,112,11106,291,11087.44966442953,1173.1327774966617,1193.222927162089,522.2881373856379,223.64446511758828,149
prefill_token_fit,119,20295,297,20229.4,1868.8229433640954,1881.1836656396922,960.1985232238007,257.4131456650265,150
prefill_token_fit_plus25w,8,225,218,223.78666666666666,198.26191704875478,202.5454402222143,36.31219626744311,117.1573631397029,150
prefill_token_fit_plus25w,16,504,228,494.9066666666667,239.1985207204319,251.86679775457984,47.37177195368351,121.67551822924322,150
prefill_token_fit_plus25w,32,1581,266,1569.8724832214766,398.3817457988305,426.3854317849341,91.4501715191781,142.33601597472656,149
prefill_token_fit_plus25w,64,2175,287,2111.527777777778,492.58135724731903,528.6380602759285,138.0775728956401,152.32130722153468,144
prefill_token_fit_plus25w,103,6053,310,5976.323529411765,782.1773155458748,810.5978341768166,286.7473647862773,188.82087615422572,136
prefill_token_fit_plus25w,112,11106,316,11087.106666666667,1165.8030966492481,1185.795493685208,530.9082153231675,231.7043750042511,150
prefill_token_fit_plus25w,119,20295,322,20229.4,1852.227079302088,1864.720223567707,983.390578059973,267.751366464854,150
