strategy,label,query_count,energy_saving_pct,ttft_increase_pct
prefill_manual_buckets,8/225,8,4.915232678756798,2.3974287348287104
prefill_manual_buckets,16/504,16,9.90189808691695,-0.4910733405273815
prefill_manual_buckets,32/1581,32,7.7317941974575755,3.7857659842549296
prefill_manual_buckets,64/2175,64,12.249062066075245,3.1029136332154206
prefill_manual_buckets,103/6053,103,6.9776304831426605,2.723786359629532
prefill_manual_buckets,112/11106,112,7.9212801291429935,3.9547684409527717
prefill_manual_buckets,119/20295,119,11.350176937129442,3.4708349451354703
prefill_manual_buckets,GEOMEAN,1000000000,8.75225522104669,2.6966255239343706
prefill_token_fit,8/225,8,5.587175401929345,3.147101149387721
prefill_token_fit,16/504,16,6.689965609363613,-0.16574154846271671
prefill_token_fit,32/1581,32,4.399981831589505,1.7020509866300992
prefill_token_fit,64/2175,64,4.107008265457345,-0.5683196976937865
prefill_token_fit,103/6053,103,1.84312223138261,1.0466940858198104
prefill_token_fit,112/11106,112,1.8143727721168346,0.6737339103129791
prefill_token_fit,119/20295,119,2.399232741171897,0.8955003367309811
prefill_token_fit,GEOMEAN,1000000000,3.8505993547409023,0.9552113974836018
prefill_token_fit_plus25w,8/225,8,2.173902148375584,2.641633511272601
prefill_token_fit_plus25w,16/504,16,5.669582770059001,-3.9157370471698316
prefill_token_fit_plus25w,32/1581,32,1.8556561186878096,0.47688201880129455
prefill_token_fit_plus25w,64/2175,64,1.6222972365348642,-0.507240501166828
prefill_token_fit_plus25w,103/6053,103,0.7675180523850744,0.9349674216767134
prefill_token_fit_plus25w,112/11106,112,0.19387309298156685,0.04472894733287269
prefill_token_fit_plus25w,119/20295,119,0.04184279360203158,-0.0004903797798161413
prefill_token_fit_plus25w,GEOMEAN,1000000000,1.7768263513743943,-0.06355832159344876
