strategy,metric,label,concurrency,output_length,value
scheme1_fit_curve,tbt_loss_pct,8/8,8,8,11.725176348688793
scheme1_fit_curve,energy_saving_pct,8/8,8,8,22.1353549708606
scheme1_fit_curve,tbt_loss_pct,8/16,8,16,13.808947411142736
scheme1_fit_curve,energy_saving_pct,8/16,8,16,22.511296187724405
scheme1_fit_curve,tbt_loss_pct,8/32,8,32,4.179226394971214
scheme1_fit_curve,energy_saving_pct,8/32,8,32,11.85686746804161
scheme1_fit_curve,tbt_loss_pct,8/64,8,64,1.801354551930734
scheme1_fit_curve,energy_saving_pct,8/64,8,64,6.07295014570659
scheme1_fit_curve,tbt_loss_pct,8/96,8,96,0.9411320312097127
scheme1_fit_curve,energy_saving_pct,8/96,8,96,2.431991568282632
scheme1_fit_curve,tbt_loss_pct,8/128,8,128,0.8394812561670628
scheme1_fit_curve,energy_saving_pct,8/128,8,128,2.6154034982160734
scheme1_fit_curve,tbt_loss_pct,16/8,16,8,12.501736463381107
scheme1_fit_curve,energy_saving_pct,16/8,16,8,22.408100117722228
scheme1_fit_curve,tbt_loss_pct,16/16,16,16,14.837388725082334
scheme1_fit_curve,energy_saving_pct,16/16,16,16,22.895848733987588
scheme1_fit_curve,tbt_loss_pct,16/32,16,32,4.39582165508583
scheme1_fit_curve,energy_saving_pct,16/32,16,32,12.801964096325168
scheme1_fit_curve,tbt_loss_pct,16/64,16,64,2.2168827938163105
scheme1_fit_curve,energy_saving_pct,16/64,16,64,6.766063397094635
scheme1_fit_curve,tbt_loss_pct,16/96,16,96,1.0112563283577014
scheme1_fit_curve,energy_saving_pct,16/96,16,96,3.5389771462272734
scheme1_fit_curve,tbt_loss_pct,16/128,16,128,1.0137779270577463
scheme1_fit_curve,energy_saving_pct,16/128,16,128,3.683695008268062
scheme1_fit_curve,tbt_loss_pct,GEOMEAN,1000000000,1000000000,5.636328568762772
scheme1_fit_curve,energy_saving_pct,GEOMEAN,1000000000,1000000000,12.040683963623755
scheme2_fit_plus,tbt_loss_pct,8/8,8,8,12.583199034188075
scheme2_fit_plus,energy_saving_pct,8/8,8,8,21.520865448052906
scheme2_fit_plus,tbt_loss_pct,8/16,8,16,7.301132366897889
scheme2_fit_plus,energy_saving_pct,8/16,8,16,18.10764282226002
scheme2_fit_plus,tbt_loss_pct,8/32,8,32,2.9215295706876754
scheme2_fit_plus,energy_saving_pct,8/32,8,32,8.868570502511608
scheme2_fit_plus,tbt_loss_pct,8/64,8,64,0.9509962501320857
scheme2_fit_plus,energy_saving_pct,8/64,8,64,2.3967551543959242
scheme2_fit_plus,tbt_loss_pct,8/96,8,96,0.14841105652612097
scheme2_fit_plus,energy_saving_pct,8/96,8,96,-0.048188174340801915
scheme2_fit_plus,tbt_loss_pct,8/128,8,128,0.02143267909684443
scheme2_fit_plus,energy_saving_pct,8/128,8,128,0.03201512010533314
scheme2_fit_plus,tbt_loss_pct,16/8,16,8,12.862465850988404
scheme2_fit_plus,energy_saving_pct,16/8,16,8,19.93583642358765
scheme2_fit_plus,tbt_loss_pct,16/16,16,16,7.59464038416755
scheme2_fit_plus,energy_saving_pct,16/16,16,16,18.858608003168808
scheme2_fit_plus,tbt_loss_pct,16/32,16,32,3.318026937417895
scheme2_fit_plus,energy_saving_pct,16/32,16,32,10.177756019881679
scheme2_fit_plus,tbt_loss_pct,16/64,16,64,1.3182344227233633
scheme2_fit_plus,energy_saving_pct,16/64,16,64,3.3198357090096886
scheme2_fit_plus,tbt_loss_pct,16/96,16,96,0.12478188445543825
scheme2_fit_plus,energy_saving_pct,16/96,16,96,0.3508336225266362
scheme2_fit_plus,tbt_loss_pct,16/128,16,128,0.12308001603116292
scheme2_fit_plus,energy_saving_pct,16/128,16,128,0.39317724048737457
scheme2_fit_plus,tbt_loss_pct,GEOMEAN,1000000000,1000000000,4.006215754890929
scheme2_fit_plus,energy_saving_pct,GEOMEAN,1000000000,1000000000,9.054669887403577
scheme3_kv_guided,tbt_loss_pct,8/8,8,8,3.1745050187129253
scheme3_kv_guided,energy_saving_pct,8/8,8,8,9.90108486060416
scheme3_kv_guided,tbt_loss_pct,8/16,8,16,4.084545160729647
scheme3_kv_guided,energy_saving_pct,8/16,8,16,11.70978232750043
scheme3_kv_guided,tbt_loss_pct,8/32,8,32,4.234025778637918
scheme3_kv_guided,energy_saving_pct,8/32,8,32,12.359120501275312
scheme3_kv_guided,tbt_loss_pct,8/64,8,64,2.5162400423937914
scheme3_kv_guided,energy_saving_pct,8/64,8,64,7.600900686914491
scheme3_kv_guided,tbt_loss_pct,8/96,8,96,2.398408532735319
scheme3_kv_guided,energy_saving_pct,8/96,8,96,7.699080873180875
scheme3_kv_guided,tbt_loss_pct,8/128,8,128,1.733049275393661
scheme3_kv_guided,energy_saving_pct,8/128,8,128,6.215624154121402
scheme3_kv_guided,tbt_loss_pct,16/8,16,8,3.882811319201007
scheme3_kv_guided,energy_saving_pct,16/8,16,8,9.56482298730581
scheme3_kv_guided,tbt_loss_pct,16/16,16,16,4.375988410821652
scheme3_kv_guided,energy_saving_pct,16/16,16,16,12.097420038780704
scheme3_kv_guided,tbt_loss_pct,16/32,16,32,4.4662227619101325
scheme3_kv_guided,energy_saving_pct,16/32,16,32,13.32641503774098
scheme3_kv_guided,tbt_loss_pct,16/64,16,64,2.7870939744069068
scheme3_kv_guided,energy_saving_pct,16/64,16,64,8.662141091482134
scheme3_kv_guided,tbt_loss_pct,16/96,16,96,2.5144247010641996
scheme3_kv_guided,energy_saving_pct,16/96,16,96,8.812819397877526
scheme3_kv_guided,tbt_loss_pct,16/128,16,128,1.9962566537600646
scheme3_kv_guided,energy_saving_pct,16/128,16,128,7.163587049337239
scheme3_kv_guided,tbt_loss_pct,GEOMEAN,1000000000,1000000000,3.1759967843130843
scheme3_kv_guided,energy_saving_pct,GEOMEAN,1000000000,1000000000,9.619933577025941
