strategy,concurrency,output_length,power_limit,avg_ttft_ms,avg_tbt_ms,avg_e2e_ms,avg_energy_j,avg_power_w
baseline_350w,8,8,350.0,217.0467840232982,68.74157209785629,698.2377887082922,160.00319789957706,199.76164649877612
baseline_350w,8,16,350.0,219.1055479050086,68.25584079238878,1242.9431597908404,282.9999725186295,210.53387523296837
baseline_350w,8,32,350.0,218.2241673608049,67.9841015302423,2325.7313147983164,530.5406877144648,218.4574741415182
baseline_350w,8,64,350.0,218.32429272917656,67.88006373165321,4494.7683078233285,1026.2167131428394,223.2631657891494
baseline_350w,8,96,350.0,216.8991869966711,67.90887543513166,6668.242353334179,1521.139420245115,224.62851260104523
baseline_350w,8,128,350.0,221.84581112999695,67.99408119818894,8857.094123299992,2018.8220905486248,225.336306661765
baseline_350w,16,8,350.0,227.11769421788935,70.6232948716048,721.4807583191229,166.1484138829244,194.36355629641082
baseline_350w,16,16,350.0,240.89923618464582,69.07845220869301,1277.0760193150409,292.4232275689867,209.1785927078214
baseline_350w,16,32,350.0,236.25057729994296,68.47568278915195,2358.9967437636533,545.1031185397557,219.7674336751774
baseline_350w,16,64,350.0,235.7137198628743,68.22057341398124,4533.609844943693,1048.8073357866035,225.23644660654438
baseline_350w,16,96,350.0,227.13485936210873,68.32671139168905,6718.1724415725685,1550.3780435128294,226.33035278812815
baseline_350w,16,128,350.0,228.79944854503265,68.28828948182705,8901.412212737067,2055.739461880717,227.81863391388683
scheme1_fit_curve,8,8,150.0,235.917210594968,76.80164265119099,773.5287091533049,124.5859220797771,142.14765297437057
scheme1_fit_curve,8,16,151.0,234.05087893500612,77.68125395244306,1399.2696882216521,219.29301049378213,145.53693831130053
scheme1_fit_curve,8,32,191.0,220.10207917916736,70.82531104577821,2415.6867215982916,467.63518150812416,185.45661600446678
scheme1_fit_curve,8,64,210.0,214.42054122750883,69.10282434953683,4567.898475248329,963.8950837667659,206.14737122214305
scheme1_fit_curve,8,96,220.0,220.10005740334387,68.547987613886,6732.158880722513,1484.1454378029305,216.9644934152876
scheme1_fit_curve,8,128,220.0,223.133873228334,68.56487876515075,8930.87347640248,1966.0217469696572,217.6413737682772
scheme1_fit_curve,16,8,150.0,247.5739835321186,79.45243307820938,803.7410150795844,128.9177109560312,138.6934230649933
scheme1_fit_curve,16,16,151.0,247.65254588376442,79.32789068816702,1437.5709062062697,225.4704477217472,143.5321301357495
scheme1_fit_curve,16,32,191.0,247.21265116875506,71.48575168166536,2463.2709533003813,475.3192130163473,183.8636105701689
scheme1_fit_curve,16,64,210.0,238.93581949453164,69.73294356783862,4632.111264268365,977.8443665339028,205.70093003945604
scheme1_fit_curve,16,96,220.0,225.58181077753184,69.0176695845962,6782.26042131417,1495.5105188727848,216.40153786594956
scheme1_fit_curve,16,128,220.0,229.00854930084128,68.98058108735911,8989.54234739545,1980.0122899404203,217.35163628476278
scheme2_fit_plus,8,8,150.0,234.4021486283532,77.39146093415944,776.1423751674693,125.56912496702726,141.9487175757657
scheme2_fit_plus,8,16,170.0,225.22797299078283,73.23929007678016,1323.8173241424854,231.75534830786205,162.00534660449725
scheme2_fit_plus,8,32,200.0,219.69237974161197,69.97027715981466,2388.7709716958666,483.48931277999753,194.0619055796906
scheme2_fit_plus,8,64,220.0,217.88701361004618,68.5256005923285,4534.999850926742,1001.6208111753159,215.84265266596557
