method,query_count,output_length,energy_saving_pct,ttft_increase_pct,tbt_increase_pct,e2e_increase_pct,baseline_energy_j,strategy_energy_j,baseline_power_w,strategy_power_w,avg_ttft_ms,avg_tbt_ms,avg_e2e_ms,x_label
FF + PID,8,200,10.575839134450614,3.888525541508092,4.044337741526971,4.042093526444868,2974.6697343417595,2660.0734484565855,215.50254798462103,185.27088647050388,204.9927444534842,70.59476389858749,14253.350760272393,8
Pure FF,8,200,10.913722031627781,5.083535325552679,4.15560788214302,4.168720813561433,2977.0705684040768,2652.1613618830547,215.83596609822018,184.64144951406797,203.31754744402133,70.64851278836575,14262.371592328805,8
FF + PID,16,200,11.454033433297461,5.1723558749998455,4.099444085067239,4.119170445109854,3051.972996593778,2702.3989891887163,218.0986053067851,185.4976157834545,267.9691880797812,71.16008837057306,14428.826773823821,16
Pure FF,16,200,11.602241906014065,2.7769279021444104,4.237712794815018,4.210705473077736,3050.1230765120295,2696.240418743945,218.11613935863753,185.1078871165162,263.25246770633385,71.2276932920247,14437.563432819248,16
FF + PID,32,200,13.439536813477027,4.839296752525546,4.662121551518372,4.667482608008977,3179.675706915547,2752.3420197354462,224.36589521012033,185.70319690345696,443.5384281229926,71.3102800338025,14634.284154849689,32
Pure FF,32,200,13.93262362175387,3.87038782587914,4.813189000905593,4.784674595177596,3182.3992632960367,2739.007551799532,224.76119862196052,184.8730911975133,438.98278188358137,71.37345197178875,14642.299724269542,32
FF + PID,64,200,10.578873030804258,4.257472024978148,3.6583088959281973,3.6796866796837913,3381.7656171736576,3024.0129263334625,230.0226972736051,198.49132721017,535.1819264419895,72.26851553255885,14916.616517421198,64
Pure FF,64,200,10.693807840142,3.1978536973858107,3.6531082123336445,3.636304679554425,3391.440345711204,3028.7662321278003,230.49325891983412,198.76638519102553,548.5099157067694,72.23763532007956,14923.799344402601,64
FF + PID,96,200,11.05440577641671,4.464074068961854,3.7741948586380136,3.9742577350758035,7013.037338873328,6237.787734182654,236.95014985139065,203.355143285536,6044.799081068649,73.87848176940048,20746.616953179346,96
Pure FF,96,200,11.623606841068746,4.924029237036742,3.720403842301656,4.068893859244227,7008.056724551283,6193.467763690362,237.10726727502302,201.94221196183628,6058.332058148194,73.84715502683049,20753.91590848746,96
FF + PID,128,200,11.474479986588658,4.411672013647316,3.404421619509712,3.785137131201566,7824.630211934109,6926.79458424116,245.2386287917393,209.7360166452139,9358.780193560719,76.64801528168503,24611.735234616037,128
Pure FF,128,200,12.534135022132242,4.833357542083627,3.729550194765663,4.146347482907098,7821.186895236402,6840.868769454159,245.4995369098174,206.48676311050008,9380.754586925299,76.8822188447326,24680.316137027086,128
FF + PID,GEOMEAN,200,11.434879924927932,4.504762023358966,3.939709657504298,4.044159170445316,,,,,,,,GEOMEAN
Pure FF,GEOMEAN,200,11.890139889491314,4.110499494467135,4.050797909618287,4.168734829546539,,,,,,,,GEOMEAN
