full_repeat,strategy,query_count,target_input_tokens,actual_input_tokens,output_length,batch_repeat,prefill_power_limit,decode_scheme,pid_enabled,pid_update_count,pid_prefill_delta_w,pid_decode_delta_w,pid_prefill_error_ms,pid_decode_error_ms,pid_decode_feedback_tbt_ms,power_change_count,power_event_trace_json,pid_event_trace_json,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tbt_ms,p50_tbt_ms,p95_tbt_ms,p99_tbt_ms,avg_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,avg_power_w,total_energy_j,peak_power_w,avg_sm_clock_mhz,avg_mem_clock_mhz,num_requests,actual_output_tokens
1,baseline_350w,64,2175,2137,200,26,350,350,0,0,0.0,0.0,,,,0,"[{""power_limit"": 350, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null}]",[],1179.175666104129,1248.9892225712538,1375.7049578242004,1384.016823740676,69.57255980882083,69.64589561448062,70.34843764899664,70.41105610985385,15024.115068059473,15094.680386362596,15159.606450074352,15163.98576390464,238.42541391304349,3655.297029287042,259.392,2745.6260869565217,11251.0,64,200
1,ff_decode_tbt_guarded_pid,64,2175,2119,200,16,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,892.2131667258701,0.2134009593505794,76.06291770935059,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777874822.1208394, ""kvb"": 2.609375, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777874822.2609258, ""kvb"": 2.625, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777874824.1219401, ""kvb"": 4.046875, ""base_power"": 205, ""actual_tbt_ms"": 73.46630096435547, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -2.3832157856445377, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874826.1221206, ""kvb"": 5.59375, ""base_power"": 205, ""actual_tbt_ms"": 74.13214445114136, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -1.717372298858649, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874828.1225276, ""kvb"": 7.125, ""base_power"": 205, ""actual_tbt_ms"": 75.81937313079834, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -0.030143619201666638, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874830.123749, ""kvb"": 9.046875, ""base_power"": 205, ""actual_tbt_ms"": 71.16973400115967, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.6797827488403385, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874832.1246097, ""kvb"": 11.03125, ""base_power"": 205, ""actual_tbt_ms"": 68.86637210845947, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -6.983144641540534, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874834.124837, ""kvb"": 12.5, ""base_power"": 205, ""actual_tbt_ms"": 75.55806636810303, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -0.29145038189697914, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777874836.138423, ""kvb"": 14.049180327868852, ""base_power"": 205, ""actual_tbt_ms"": 76.06291770935059, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.21340095935057946, ""pid_delta_w"": 0.0}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 1468.14857852587, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 892.2131667258701, ""next_pid_delta_w"": 20.0}]",1468.14857852587,1524.8942631296811,1664.084103726782,1673.0481834197417,72.1065519494882,72.2228651936517,72.90208359171716,72.94388090779807,15817.352416474025,15887.668051524088,15969.317854382098,15979.375820625572,201.80967724867725,3261.155725389801,206.735,2593.677248677249,11251.0,64,200
1,ff_decode_tbt_guarded_pid,64,2175,2106,200,31,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,1147.646095565452,3.3180876964111263,79.16760444641113,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777875069.8779712, ""kvb"": 2.5625, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777875070.138922, ""kvb"": 2.5625, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777875071.8813038, ""kvb"": 4.0, ""base_power"": 205, ""actual_tbt_ms"": 70.44351100921631, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -5.406005740783698, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875073.8820212, ""kvb"": 5.625, ""base_power"": 205, ""actual_tbt_ms"": 69.0111517906189, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -6.83836495938111, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875075.88345, ""kvb"": 7.109375, ""base_power"": 205, ""actual_tbt_ms"": 76.04563236236572, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.19611561236571617, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875077.884917, ""kvb"": 9.0, ""base_power"": 205, ""actual_tbt_ms"": 72.8083848953247, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -3.0411318546752995, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875079.888925, ""kvb"": 11.0, ""base_power"": 205, ""actual_tbt_ms"": 70.3057050704956, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -5.543811679504401, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875081.8913946, ""kvb"": 12.609375, ""base_power"": 205, ""actual_tbt_ms"": 70.28806209564209, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -5.561454654357917, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777875083.9019215, ""kvb"": 14.015625, ""base_power"": 205, ""actual_tbt_ms"": 79.16760444641113, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 3.3180876964111263, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 1723.5815073654521, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 1147.646095565452, ""next_pid_delta_w"": 20.0}]",1723.581507365452,1715.7607635017484,1911.262198444456,1921.3401845283809,72.3756206289958,72.39425375744064,73.1010432772797,73.15338291202077,16126.330012535618,16137.442291947082,16215.548549965024,16227.334852893837,196.40368014059757,3219.8108500599083,204.943,2596.634446397188,11251.0,64,200
1,ff_decode_tbt_guarded_pid,64,2175,2102,200,46,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,607.2480540732987,1.7663403743286068,77.61585712432861,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777875317.2234476, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777875317.2888057, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777875319.227412, ""kvb"": 4.0, ""base_power"": 205, ""actual_tbt_ms"": 70.92559337615967, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.9239233738403385, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875321.2277918, ""kvb"": 5.6875, ""base_power"": 205, ""actual_tbt_ms"": 76.00784301757812, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.15832626757811852, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875323.2288673, ""kvb"": 7.078125, ""base_power"": 205, ""actual_tbt_ms"": 76.06124877929688, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.21173202929686852, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777875325.2302198, ""kvb"": 9.0, ""base_power"": 205, ""actual_tbt_ms"": 77.18980312347412, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 1.3402863734741146, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875327.2307677, ""kvb"": 11.0, ""base_power"": 205, ""actual_tbt_ms"": 71.15817070007324, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.691346049926764, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777875329.2387276, ""kvb"": 12.578125, ""base_power"": 205, ""actual_tbt_ms"": 72.0442533493042, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -3.8052634006958073, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777875331.243598, ""kvb"": 14.015625, ""base_power"": 205, ""actual_tbt_ms"": 77.61585712432861, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 1.7663403743286068, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 1183.1834658732987, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 607.2480540732987, ""next_pid_delta_w"": 20.0}]",1183.1834658732987,1432.080440223217,1899.4777210522443,1916.4279311150312,72.3252129336192,72.06338027202005,73.04983030625586,73.08978817662009,15575.900839663518,15962.664554826915,16194.301086710766,16231.119977193885,200.6079910394265,3292.478012030381,219.37,2595.3763440860216,11251.0,64,200
2,ff_decode_tbt_guarded_pid,64,2175,2097,200,38,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,335.0097369311162,-1.07739722790528,74.77211952209473,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777882061.6449046, ""kvb"": 2.5625, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777882061.8729136, ""kvb"": 2.5625, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777882063.6460838, ""kvb"": 4.0, ""base_power"": 205, ""actual_tbt_ms"": 69.93401050567627, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -5.915506244323737, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882065.646111, ""kvb"": 5.859375, ""base_power"": 205, ""actual_tbt_ms"": 71.59829139709473, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.25122535290528, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882067.6466954, ""kvb"": 7.265625, ""base_power"": 205, ""actual_tbt_ms"": 76.52854919433594, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.679032444335931, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882069.6493785, ""kvb"": 9.0, ""base_power"": 205, ""actual_tbt_ms"": 75.71303844451904, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -0.1364783054809635, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882071.651497, ""kvb"": 11.0, ""base_power"": 205, ""actual_tbt_ms"": 68.57454776763916, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -7.274968982360846, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882073.6538904, ""kvb"": 12.796875, ""base_power"": 205, ""actual_tbt_ms"": 71.45440578460693, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.395110965393073, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777882075.6633556, ""kvb"": 14.171875, ""base_power"": 205, ""actual_tbt_ms"": 74.77211952209473, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -1.07739722790528, ""pid_delta_w"": 0.0}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 910.9451487311162, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 335.0097369311162, ""next_pid_delta_w"": 20.0}]",910.9451487311162,722.8148048743606,1525.2626808127388,1532.2244431450963,72.26492902704943,72.1077971200192,73.11861397974643,73.30733407197529,15291.666025113956,15045.962437056003,15882.521482743325,15895.633656373248,199.2997968476357,3217.9904380229573,218.186,2595.577933450088,11251.0,64,200
2,baseline_350w,64,2175,2108,200,29,350,350,0,0,0.0,0.0,,,,0,"[{""power_limit"": 350, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null}]",[],1074.4221064960584,1103.5802059341222,1350.3708188654855,1356.7440001899377,68.8706943183206,69.28071890835975,69.93954733315968,70.01497268973938,14779.690275841858,14971.482026390731,15107.684172363952,15127.020196090452,239.62661929824563,3696.218709908364,256.766,2745.2631578947367,11251.0,64,200
2,baseline_350w,64,2175,2119,200,44,350,350,0,0,0.0,0.0,,,,0,"[{""power_limit"": 350, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null}]",[],1187.628537787532,1196.7268693260849,1357.7873515198007,1368.6473479308188,69.68983860703825,69.72596141154031,70.35565385419464,70.43890941172052,15055.906420588144,15099.77942565456,15169.263130286708,15177.442205217669,238.2044593220339,3656.104091201576,260.191,2745.71186440678,11251.0,64,200
3,baseline_350w,64,2175,2108,200,22,350,350,0,0,0.0,0.0,,,,0,"[{""power_limit"": 350, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null}]",[],1132.114962383639,1121.913231909275,1306.0557514661923,1314.1146278195083,69.5610107829073,69.74322308584973,70.28585796621184,70.31316820005583,14974.756108182191,15037.487752968444,15118.56725292746,15127.794979270548,237.5570381282496,3630.685763856217,260.382,2745.831889081456,11251.0,64,200
3,ff_decode_tbt_guarded_pid,64,2175,2114,200,1,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,809.0433467641025,0.8508130305786068,76.70032978057861,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777901488.5139658, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777901488.6855743, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777901490.5147414, ""kvb"": 3.984375, ""base_power"": 205, ""actual_tbt_ms"": 76.42209529876709, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.5725785487670834, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901492.5148425, ""kvb"": 5.4375, ""base_power"": 205, ""actual_tbt_ms"": 71.18022441864014, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -4.66929233135987, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901494.515127, ""kvb"": 7.046875, ""base_power"": 205, ""actual_tbt_ms"": 67.81494617462158, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -8.034570575378424, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901496.5163033, ""kvb"": 9.03125, ""base_power"": 205, ""actual_tbt_ms"": 70.50037384033203, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -5.349142909667975, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901498.5186388, ""kvb"": 10.984375, ""base_power"": 205, ""actual_tbt_ms"": 75.17516613006592, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -0.6743506199340885, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777901500.534258, ""kvb"": 12.375, ""base_power"": 205, ""actual_tbt_ms"": 80.31439781188965, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 4.464881061889642, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901502.549002, ""kvb"": 14.0, ""base_power"": 205, ""actual_tbt_ms"": 76.70032978057861, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.8508130305786068, ""pid_delta_w"": 0.0}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 1384.9787585641025, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 809.0433467641025, ""next_pid_delta_w"": 20.0}]",1384.9787585641025,1341.591040370986,1559.636433632113,1567.8096794476733,72.20343975744406,72.34336354479606,73.02828275507326,73.06127412314878,15753.46327029547,15795.968858292326,15870.938997087069,15875.849654451013,204.05273851590107,3272.3935122644943,210.612,2599.7438162544167,11251.0,64,200
3,ff_decode_tbt_guarded_pid,64,2175,2098,200,16,220,fixed_decode_205+pid_guard,1,1,20.0,0.0,590.766073617434,0.8024140590209896,76.651930809021,2,"[{""power_limit"": 220, ""reason"": ""prefill"", ""wall_time"": null, ""kvb"": null, ""base_power"": 220.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 210, ""reason"": ""decode_feedforward"", ""wall_time"": 1777901734.63351, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}, {""power_limit"": 205, ""reason"": ""decode_feedforward"", ""wall_time"": 1777901734.7953763, ""kvb"": 2.53125, ""base_power"": 205.0, ""pid_delta_w"": 0.0, ""pid_error_ms"": null}]","[{""stage"": ""decode"", ""action"": ""skip_initial"", ""wall_time"": 1777901736.6713996, ""kvb"": 4.0, ""base_power"": 205, ""actual_tbt_ms"": 76.59649848937988, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.7469817393798763, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901738.6716926, ""kvb"": 5.765625, ""base_power"": 205, ""actual_tbt_ms"": 73.66359233856201, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": -2.1859244114379948, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777901740.6726065, ""kvb"": 7.25, ""base_power"": 205, ""actual_tbt_ms"": 78.17709445953369, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 2.327577709533685, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901742.6734612, ""kvb"": 9.0, ""base_power"": 205, ""actual_tbt_ms"": 76.73346996307373, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.883953213073724, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901744.6846006, ""kvb"": 11.0, ""base_power"": 205, ""actual_tbt_ms"": 76.56693458557129, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.7174178355712826, ""pid_delta_w"": 0.0}, {""stage"": ""decode"", ""action"": ""hold_over_confirm"", ""wall_time"": 1777901746.7001858, ""kvb"": 12.75, ""base_power"": 205, ""actual_tbt_ms"": 77.889084815979, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 2.0395680659789974, ""pid_delta_w"": 0.0, ""over_budget_windows"": 1}, {""stage"": ""decode"", ""action"": ""hold"", ""wall_time"": 1777901748.7192678, ""kvb"": 14.1875, ""base_power"": 205, ""actual_tbt_ms"": 76.651930809021, ""target_tbt_ms"": 75.84951675, ""pid_error_ms"": 0.8024140590209896, ""pid_delta_w"": 0.0}, {""stage"": ""prefill"", ""base_power"": 220, ""applied_power"": 220, ""actual_ttft_ms"": 1166.701485417434, ""target_ttft_ms"": 575.9354118, ""pid_error_ms"": 590.766073617434, ""next_pid_delta_w"": 20.0}]",1166.701485417434,1223.406593082473,1467.6499442430213,1479.5194355398417,72.36140563722229,72.27995996737862,73.15194594612971,73.19146558291388,15566.62120722467,15679.539276985452,15794.652953394689,15810.843193330802,195.54823392857145,3122.862688622445,207.426,2595.214285714286,11251.0,64,200
